group;comments;too much movement;Time;ID;gender;Trials;acc_go;acc_nogo;rt_go;wave;schoolstart;year;ExactAge_T1;ExactAge_T2;Con_acc_t1;InCon_acc_t1;Mix_acc_t1;MixCon_Acc_t1;MixInCon_Acc_t1;Con_CorrRTmean_t1;Incon_CorrRTmean_t1;Mix_CorrRTmean_t1;MixCon_CorrRTmean_t1;MixInCon_CorrRTmean_t1
3;;;1;1119;1;166;0.975;0.85;956;2;Jan - March 2008 (Wave 2);2014;5.0862423;7.312799452;1;0.9;0.6;0.5;0.7;917.35;795.94;1125.83;1002.2;1214.14
3;;;1;1120;1;166;0.908333333;0.325;691;2;Jan - March 2008 (Wave 2);2014;5.171115674;7.26899384;1;0.9;0.85;0.9;0.8;498.1;646.17;865.12;853.33;878.38
3;;;1;1121;1;166;1;0.625;754;2;Jan - March 2008 (Wave 2);2014;5.26146475;7.430527036;0.9;0.9;0.6;0.4;0.8;457.83;549.72;1121.75;1331.75;1016.75
3;;;1;1123;1;166;0.883333333;0.4;602;2;Jan - March 2008 (Wave 2);2014;5.360027379;7.143052704;0.95;1;1;1;1;371.89;481.05;689.45;677.1;701.8
2;;;1;1131;1;166;0.975;0.725;928.59;1;Oct - Dec 2007;2013;5.35523614;6.46954141;0.95;0.9;0.7;0.9;0.5;814.42;1186.56;1539;1488.67;1629.6
2;often not pressed at T2;;1;1133;1;166;0.966666667;0.6;740.97;1;Oct - Dec 2007;2013;5.379876797;6.516084873;1;1;0.7;0.7;0.7;656.15;796.2;1062.36;1119.57;1005.14
3;0;T1;1;1134;1;166;0.683333333;0.825;1059.05;1;Oct - Dec 2007;2014;5.319644079;6.450376454;0.8;0.95;0.75;0.9;0.6;650.75;1010.21;1230.13;1186.56;1295.5
2;;;1;1135;1;166;0.958333333;0.975;967.44;1;Oct - Dec 2007;2013;5.470225873;6.488706366;1;0.8;0.6;0.8;0.4;560.55;1051.56;1152.42;1188.88;1079.5
2;;;1;1136;1;166;0.875;0.425;771.02;1;Oct - Dec 2007;2013;5.505817933;6.548939083;1;0.8;0.5;0.4;0.6;750.65;982.88;874.5;846.75;893
2;take only run1;T1 run 2;1;1137;1;166;0.841666667;0.5;936;1;Oct - Dec 2007;2013;5.650924025;6.488706366;0.95;0.4;0.8;1;0.6;707.74;913.75;1310.94;1262;1392.5
3;0;;1;1138;1;166;0.825;0.85;809;1;Oct - Dec 2007;2014;5.626283368;6.636550308;1;0.95;0.9;1;0.8;656.6;1087.16;1299.56;1213.6;1407
2;;;1;1139;1;166;0.766666667;0.75;948.89;1;Oct - Dec 2007;2013;5.741273101;6.685831622;0.95;0.9;0.9;0.9;0.9;805.21;975.44;1297.72;1263.78;1331.67
2;;;1;1140;1;166;0.95;0.8;887.06;1;Oct - Dec 2007;2013;5.724845996;6.625598905;0.9;0.85;0.8;0.7;0.9;620.83;766.82;1309.44;1174.86;1414.11
3;0;T1;1;1142;1;166;0.783333333;0.725;844;2;Oct - Dec 2008;2015;5.338809035;6.351813826;0.95;0.9;0.7;0.8;0.6;858.21;950.89;1330.5;1304.5;1365.17
3;0;;1;1143;1;166;0.958333333;0.95;978;2;Oct - Dec 2008;2015;5.338809035;6.351813826;1;0.9;0.95;0.9;1;823.4;1148.11;1216.74;1150.11;1276.7
2;;;1;1144;1;166;0.775;0.9;911;2;Oct - Dec 2008;2014;5.442847365;6.518822724;0.95;0.9;0.95;1;0.9;477.79;743.44;1155.95;1135.7;1178.44
2;;;1;1145;1;166;0.666666667;0.35;677;2;Oct - Dec 2008;2014;5.467488022;6.483230664;1;0.7;0.7;0.9;0.5;704;1001.5;1233.79;1146.89;1390.2
3;0;;1;1146;1;166;0.891666667;0.825;958;2;Oct - Dec 2008;2015;5.327857632;6.477754962;0.85;0.55;0.75;0.9;0.6;694.65;940.18;1265.93;1275.56;1251.5
2;;;1;1147;1;166;0.883333333;0.85;1034;2;Oct - Dec 2008;2014;5.53045859;6.50513347;0.85;0.8;0.9;1;0.8;711.53;978;1317.06;1218.7;1440
2;at T1 only run1;;1;1148;1;81;0.948275862;0.25;600;2;Oct - Dec 2008;2014;5.442847365;6.420260096;1;0.95;0.9;0.9;0.9;529.2;621.42;1277.11;1319.78;1234.44
3;few button presses. only run 1;T1.T2;1;1151;1;81;0.413793103;0.95;769;1;Jan - March 2008 (Wave 1);2014;5.207392197;6.32991102;0.8;0.9;0.5;0.5;0.5;945.06;951.83;1208;1392.2;1023.8
3;;;1;1153;1;166;0.983333333;0.7;702.11;1;Jan - March 2008 (Wave 1);2014;5.366187543;6.491444216;0.85;0.7;0.75;0.8;0.7;644.71;933.5;1270.93;1116.88;1447
2;1;;1;1154;1;166;1;0.75;793.74;1;Jan - March 2008 (Wave 1);2013;5.240246407;6.182067077;0.9;0.9;0.8;0.8;0.8;771.44;763.06;1156.13;1063.63;1248.63
3;;;1;1155;1;166;0.941666667;0.675;870.2;1;Jan - March 2008 (Wave 1);2014;5.336071184;6.483230664;0.95;0.7;0.8;0.8;0.8;611.79;1136.71;1152.88;1222;1083.75
3;only 1 run;;1;1157;1;81;0.724137931;0.85;961.5;1;Jan - March 2008 (Wave 1);2014;5.347022587;6.381930185;1;0.7;0.75;0.8;0.7;827.05;946.71;1217.87;1297;1127.43
3;;;1;1159;1;166;0.916666667;0.75;786;2;Jan - March 2009;2015;5.210130048;6.362765229;1;1;0.8;NA;NA;529.3;628.1;1174.9375;NA;NA
3;;;1;1160;1;166;0.991666667;0.65;673;2;Jan - March 2009;2015;5.212867899;6.29705681;0.95;0.95;0.95;1;0.9;716.16;796.63;1220.84;1261.4;1175.78
3;;;1;1162;1;166;0.916666667;0.275;707;2;Jan - March 2009;2015;5.18275154;6.29705681;0.85;0.1;0.2;0.2;0.2;575.41;168.5;737.25;908;566.5
